相手,段数,目安の得点差,重み,経路,試合1,試合2,試合3
昭和第一,3,1,0.0071,武蔵丘 → 日大二 → 武蔵 → 昭和第一,武蔵丘 × 0-2 日大二（2022 選手権 ブロック決勝）,日大二 × 0-0 PK負 2-4 武蔵（2022 総体 1回戦）,武蔵 ○ 4-1 昭和第一（2024 総体 1回戦）
昭和第一,3,4,0.0071,武蔵丘 → 日大二 → 淑徳巣鴨 → 昭和第一,武蔵丘 × 0-2 日大二（2022 選手権 ブロック決勝）,日大二 ○ 3-1 淑徳巣鴨（2022 選手権 1回戦）,淑徳巣鴨 ○ 4-0 昭和第一（2024 新人戦 2回戦）
昭和第一,3,6,0.0071,武蔵丘 → 日大二 → 武蔵 → 昭和第一,武蔵丘 × 0-2 日大二（2022 選手権 ブロック決勝）,日大二 ○ 5-0 武蔵（2022 選手権 2回戦）,武蔵 ○ 4-1 昭和第一（2024 総体 1回戦）
昭和第一,3,-2,0.0071,武蔵丘 → 保善 → 淑徳巣鴨 → 昭和第一,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 ○ 6-1 淑徳巣鴨（2023 選手権 ブロック決勝）,淑徳巣鴨 × 1-3 昭和第一（2022 新人戦 1回戦）
昭和第一,3,-1,0.0049,武蔵丘 → 日大鶴ヶ丘 → 都・小平 → 昭和第一,武蔵丘 × 0-1 日大鶴ヶ丘（2022 総体 ブロック決勝）,日大鶴ヶ丘 ○ 3-0 都・小平（2022 選手権 2回戦）,都・小平 × 0-3 昭和第一（2023 選手権 1回戦）
昭和第一,3,7,0.0049,武蔵丘 → 昭和第一学園 → 明大明治 → 昭和第一,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 ○ 2-0 明大明治（2022 総体 2回戦）,明大明治 ○ 6-1 昭和第一（2023 選手権 2回戦）
昭和第一,3,3,0.0049,武蔵丘 → 日大二 → 淑徳巣鴨 → 昭和第一,武蔵丘 × 0-2 日大二（2022 選手権 ブロック決勝）,日大二 ○ 3-1 淑徳巣鴨（2022 選手権 1回戦）,淑徳巣鴨 ○ 3-0 昭和第一（2023 総体 2回戦）
昭和第一,3,-2,0.0035,武蔵丘 → 日大二 → 淑徳巣鴨 → 昭和第一,武蔵丘 × 0-2 日大二（2022 選手権 ブロック決勝）,日大二 ○ 3-1 淑徳巣鴨（2022 選手権 1回戦）,淑徳巣鴨 × 1-3 昭和第一（2022 新人戦 1回戦）
学習院,3,-2,0.175,武蔵丘 → 目黒 → 学大附 → 学習院,武蔵丘 ○ 2-0 目黒（2025 総体 2回戦）,目黒 × 2-7 学大附（2026 総体 1回戦）,学大附 ○ 1-0 学習院（2026 総体 1回戦）
学習院,3,2,0.1225,武蔵丘 → 桜町 → 学大附 → 学習院,武蔵丘 × 0-1 桜町（2025 総体 ブロック決勝）,桜町 ○ 4-2 学大附（2025 総体 2回戦）,学大附 ○ 1-0 学習院（2026 総体 1回戦）
学習院,3,-5,0.1225,武蔵丘 → 桜町 → 向丘 → 学習院,武蔵丘 × 0-1 桜町（2025 総体 ブロック決勝）,桜町 ○ 1-0 向丘（2026 選手権 1回戦）,向丘 × 1-8 学習院（2025 新人戦 3回戦）
学習院,2,1,0.12,武蔵丘 → 学大附 → 学習院,武蔵丘 ○ 1-1 PK勝 4-3 学大附（2022 選手権 1回戦）,学大附 ○ 1-0 学習院（2026 総体 1回戦）,
学習院,3,1,0.06,武蔵丘 → 駒場 → 修徳 → 学習院,武蔵丘 × 0-2 駒場（2024 総体 2回戦）,駒場 × 1-3 修徳（2025 関東 1回戦）,修徳 ○ 7-1 学習院（2025 総体 1回戦）
学習院,3,-1,0.06,武蔵丘 → 目黒 → 学大附 → 学習院,武蔵丘 ○ 2-0 目黒（2025 総体 2回戦）,目黒 × 2-6 学大附（2023 新人戦 1回戦）,学大附 ○ 1-0 学習院（2026 総体 1回戦）
学習院,3,-5,0.06,武蔵丘 → 桜町 → 八王子実践 → 学習院,武蔵丘 × 0-1 桜町（2025 総体 ブロック決勝）,桜町 ○ 1-0 八王子実践（2025 選手権 1回戦）,八王子実践 × 1-7 学習院（2024 選手権 2回戦）
学習院,3,-2,0.06,武蔵丘 → 桜町 → 向丘 → 学習院,武蔵丘 × 0-1 桜町（2025 総体 ブロック決勝）,桜町 ○ 1-0 向丘（2026 選手権 1回戦）,向丘 × 1-3 学習院（2023 新人戦 1回戦）
学習院,3,-5,0.06,武蔵丘 → 城北 → 国士舘 → 学習院,武蔵丘 × 0-1 城北（2024 選手権 ブロック決勝）,城北 × 0-5 国士舘（2024 総体 ブロック決勝）,国士舘 ○ 1-0 学習院（2026 関東 1回戦）
学習院,3,-1,0.042,武蔵丘 → 中大杉並 → 豊南 → 学習院,武蔵丘 ○ 2-1 中大杉並（2024 新人戦 3回戦）,中大杉並 × 0-1 豊南（2025 選手権 ブロック決勝）,豊南 × 1-2 学習院（2024 総体 2回戦）
学習院,3,-3,0.042,武蔵丘 → 日大鶴ヶ丘 → 成城学園 → 学習院,武蔵丘 × 2-3 日大鶴ヶ丘（2024 新人戦 準々決勝）,日大鶴ヶ丘 × 0-3 成城学園（2025 選手権 3回戦）,成城学園 ○ 2-1 学習院（2024 総体 1回戦）
学習院,3,-2,0.042,武蔵丘 → 駒場 → 狛江 → 学習院,武蔵丘 × 0-2 駒場（2024 総体 2回戦）,駒場 × 0-2 狛江（2025 新人戦 準決勝）,狛江 ○ 3-1 学習院（2024 選手権 ブロック決勝）
学習院,3,1,0.042,武蔵丘 → 学大附 → 修徳 → 学習院,武蔵丘 ○ 1-1 PK勝 4-3 学大附（2022 選手権 1回戦）,学大附 × 0-4 修徳（2026 総体 ブロック決勝）,修徳 ○ 7-1 学習院（2025 総体 1回戦）
学習院,3,0,0.042,武蔵丘 → 昭和第一学園 → 明法 → 学習院,武蔵丘 ○ 1-1 PK勝 5-4 昭和第一学園（2022 選手権 2回戦）,昭和第一学園 ○ 2-1 明法（2026 総体 1回戦）,明法 × 0-1 学習院（2025 総体 1回戦）
学習院,3,-6,0.042,武蔵丘 → 都・府中 → 城東 → 学習院,武蔵丘 ○ 4-0 都・府中（2023 選手権 1回戦）,都・府中 × 0-6 城東（2026 選手権 1回戦）,城東 × 0-7 学習院（2024 総体 ブロック決勝）
学習院,3,-7,0.042,武蔵丘 → 保善 → 文京 → 学習院,武蔵丘 × 0-5 保善（2023 選手権 2回戦）,保善 ○ 2-1 文京（2025 選手権 2回戦）,文京 × 0-3 学習院（2025 新人戦 準決勝）
学習院,3,3,0.042,武蔵丘 → 野津田 → 淑徳巣鴨 → 学習院,武蔵丘 ○ 2-1 野津田（2024 選手権 2回戦）,野津田 ○ 2-1 淑徳巣鴨（2025 選手権 ブロック決勝）,淑徳巣鴨 ○ 2-1 学習院（2024 新人戦 準決勝）
