tid,種類,年度,リーグ名,部,URL
14333,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14333
14334,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14334
14335,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14335
14336,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14336
14337,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14337
14338,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14338
14339,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14339
14366,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14366
14367,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14367
14368,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14368
14369,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14369
14371,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14371
14434,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14434
14474,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14474
14475,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14475
14476,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14476
14477,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14477
14478,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14478
14479,index,,全順位,,https://junior-soccer.jp/kanto/tokyo/league/table/14479
